Program started...
Building Faulty versions for project biojava
Building next faulty Version biojava-187 with 19 faults, 55 failures, 633 passing Test Cases and 3137 relevant methods.
Building next faulty Version biojava-188 with 19 faults, 63 failures, 630 passing Test Cases and 2958 relevant methods.
Building next faulty Version biojava-189 with 19 faults, 76 failures, 564 passing Test Cases and 3327 relevant methods.
Building next faulty Version biojava-190 with 19 faults, 157 failures, 536 passing Test Cases and 3586 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-19.xml
Building next faulty Version biojava-191 with 20 faults, 393 failures, 304 passing Test Cases and 3834 relevant methods.
Building next faulty Version biojava-192 with 20 faults, 72 failures, 615 passing Test Cases and 3116 relevant methods.
Building next faulty Version biojava-193 with 20 faults, 109 failures, 580 passing Test Cases and 3381 relevant methods.
Building next faulty Version biojava-194 with 20 faults, 70 failures, 621 passing Test Cases and 2906 relevant methods.
Building next faulty Version biojava-195 with 20 faults, 115 failures, 580 passing Test Cases and 3338 relevant methods.
Building next faulty Version biojava-196 with 20 faults, 110 failures, 580 passing Test Cases and 3222 relevant methods.
Building next faulty Version biojava-197 with 20 faults, 137 failures, 555 passing Test Cases and 3365 relevant methods.
Building next faulty Version biojava-198 with 20 faults, 60 failures, 629 passing Test Cases and 3008 relevant methods.
Building next faulty Version biojava-199 with 20 faults, 74 failures, 608 passing Test Cases and 3087 relevant methods.
Building next faulty Version biojava-200 with 20 faults, 79 failures, 571 passing Test Cases and 3338 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-20.xml
Building next faulty Version biojava-201 with 2 faults, 36 failures, 9 passing Test Cases and 68 relevant methods.
Building next faulty Version biojava-202 with 2 faults, 271 failures, 368 passing Test Cases and 3443 relevant methods.
Building next faulty Version biojava-203 with 2 faults, 7 failures, 38 passing Test Cases and 63 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-21.xml
Building next faulty Version biojava-204 with 3 faults, 27 failures, 368 passing Test Cases and 294 relevant methods.
Building next faulty Version biojava-205 with 3 faults, 110 failures, 528 passing Test Cases and 2554 relevant methods.
