Program started...
Building Faulty versions for project javaparser
Building next faulty Version javaparser-93 with 10 faults, 176 failures, 893 passing Test Cases and 2696 relevant methods.
Building next faulty Version javaparser-94 with 10 faults, 585 failures, 484 passing Test Cases and 2946 relevant methods.
Building next faulty Version javaparser-95 with 10 faults, 64 failures, 1005 passing Test Cases and 2298 relevant methods.
Building next faulty Version javaparser-96 with 10 faults, 103 failures, 966 passing Test Cases and 2459 relevant methods.
Building next faulty Version javaparser-97 with 10 faults, 86 failures, 983 passing Test Cases and 2332 relevant methods.
Building next faulty Version javaparser-98 with 10 faults, 79 failures, 990 passing Test Cases and 2430 relevant methods.
Building next faulty Version javaparser-99 with 10 faults, 455 failures, 614 passing Test Cases and 2876 relevant methods.
Building next faulty Version javaparser-100 with 10 faults, 188 failures, 881 passing Test Cases and 2609 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-10.xml
Building next faulty Version javaparser-101 with 11 faults, 127 failures, 942 passing Test Cases and 2481 relevant methods.
Building next faulty Version javaparser-102 with 11 faults, 171 failures, 898 passing Test Cases and 2572 relevant methods.
Building next faulty Version javaparser-103 with 11 faults, 578 failures, 491 passing Test Cases and 2880 relevant methods.
Building next faulty Version javaparser-104 with 11 faults, 186 failures, 883 passing Test Cases and 2379 relevant methods.
Building next faulty Version javaparser-105 with 11 faults, 158 failures, 911 passing Test Cases and 2600 relevant methods.
Building next faulty Version javaparser-106 with 11 faults, 94 failures, 975 passing Test Cases and 2549 relevant methods.
Building next faulty Version javaparser-107 with 11 faults, 877 failures, 192 passing Test Cases and 3164 relevant methods.
Building next faulty Version javaparser-108 with 11 faults, 203 failures, 866 passing Test Cases and 2516 relevant methods.
Building next faulty Version javaparser-109 with 11 faults, 253 failures, 816 passing Test Cases and 2453 relevant methods.
Building next faulty Version javaparser-110 with 11 faults, 355 failures, 714 passing Test Cases and 2818 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-11.xml
Building next faulty Version javaparser-111 with 12 faults, 174 failures, 895 passing Test Cases and 2691 relevant methods.
Building next faulty Version javaparser-112 with 12 faults, 169 failures, 900 passing Test Cases and 2552 relevant methods.
Building next faulty Version javaparser-113 with 12 faults, 108 failures, 961 passing Test Cases and 2492 relevant methods.
Building next faulty Version javaparser-114 with 12 faults, 103 failures, 966 passing Test Cases and 2262 relevant methods.
Building next faulty Version javaparser-115 with 12 faults, 760 failures, 309 passing Test Cases and 3097 relevant methods.
Building next faulty Version javaparser-116 with 12 faults, 221 failures, 848 passing Test Cases and 2694 relevant methods.
Building next faulty Version javaparser-117 with 12 faults, 210 failures, 859 passing Test Cases and 2634 relevant methods.
Building next faulty Version javaparser-118 with 12 faults, 97 failures, 972 passing Test Cases and 2519 relevant methods.
Building next faulty Version javaparser-119 with 12 faults, 216 failures, 853 passing Test Cases and 2644 relevant methods.
Building next faulty Version javaparser-120 with 12 faults, 336 failures, 733 passing Test Cases and 2863 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-12.xml
Building next faulty Version javaparser-121 with 13 faults, 66 failures, 1003 passing Test Cases and 2292 relevant methods.
Building next faulty Version javaparser-122 with 13 faults, 227 failures, 842 passing Test Cases and 2598 relevant methods.
Building next faulty Version javaparser-123 with 13 faults, 87 failures, 982 passing Test Cases and 2465 relevant methods.
Building next faulty Version javaparser-124 with 13 faults, 101 failures, 968 passing Test Cases and 2486 relevant methods.
Building next faulty Version javaparser-125 with 13 faults, 254 failures, 815 passing Test Cases and 2699 relevant methods.
Building next faulty Version javaparser-126 with 13 faults, 438 failures, 631 passing Test Cases and 2844 relevant methods.
Building next faulty Version javaparser-127 with 13 faults, 161 failures, 908 passing Test Cases and 2398 relevant methods.
Building next faulty Version javaparser-128 with 13 faults, 121 failures, 948 passing Test Cases and 2610 relevant methods.
Building next faulty Version javaparser-129 with 13 faults, 157 failures, 912 passing Test Cases and 2640 relevant methods.
Building next faulty Version javaparser-130 with 13 faults, 383 failures, 686 passing Test Cases and 2684 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-13.xml
Building next faulty Version javaparser-131 with 14 faults, 371 failures, 698 passing Test Cases and 2706 relevant methods.
Building next faulty Version javaparser-132 with 14 faults, 121 failures, 948 passing Test Cases and 2584 relevant methods.
Building next faulty Version javaparser-133 with 14 faults, 261 failures, 808 passing Test Cases and 2673 relevant methods.
Building next faulty Version javaparser-134 with 14 faults, 122 failures, 947 passing Test Cases and 2617 relevant methods.
Building next faulty Version javaparser-135 with 14 faults, 86 failures, 983 passing Test Cases and 2450 relevant methods.
Building next faulty Version javaparser-136 with 14 faults, 896 failures, 173 passing Test Cases and 3170 relevant methods.
Building next faulty Version javaparser-137 with 14 faults, 161 failures, 908 passing Test Cases and 2678 relevant methods.
Building next faulty Version javaparser-138 with 14 faults, 106 failures, 963 passing Test Cases and 2470 relevant methods.
Building next faulty Version javaparser-139 with 14 faults, 149 failures, 920 passing Test Cases and 2666 relevant methods.
Building next faulty Version javaparser-140 with 14 faults, 143 failures, 926 passing Test Cases and 2627 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-14.xml
Building next faulty Version javaparser-141 with 15 faults, 308 failures, 761 passing Test Cases and 2728 relevant methods.
Building next faulty Version javaparser-142 with 15 faults, 128 failures, 941 passing Test Cases and 2566 relevant methods.
Building next faulty Version javaparser-143 with 15 faults, 233 failures, 836 passing Test Cases and 2727 relevant methods.
Building next faulty Version javaparser-144 with 15 faults, 94 failures, 975 passing Test Cases and 2448 relevant methods.
Building next faulty Version javaparser-145 with 15 faults, 151 failures, 918 passing Test Cases and 2545 relevant methods.
